Unnamed: 0,country,abbreviation,region,euro_year,euro_turnout,year,nat_turnout,population,pres_more,latitude,longitude
1,Austria,AT,Western,2019,59.8,2017,80.0,8754413,False,47.2,13.2
2,Belgium,BE,Western,2019,88.47,2019,88.38,11647253,False,50.6402809,4.666714499999999
3,Bulgaria,BU,Central/Eastern,2019,32.64,2016,56.28,7144653,True,42.6073975,25.4856617
4,Croatia,HR,Central/Eastern,2019,29.86,2015,59.05,4470534,True,45.5643442,17.0118954
5,Cyprus,CY,Mediterranean,2019,44.99,2018,73.97,1237088,True,34.982301799999995,33.1451285
6,Czechia,CZ,Central/Eastern,2019,28.72,2018,61.88,10686269,True,49.816700299999994,15.4749544
7,Denmark,DK,Northern,2019,66.0,2019,84.6,5841522,False,55.670249,10.333328300000002
8,Estonia,EE,Central/Eastern,2019,37.6,2019,63.67,1236641,False,58.75237779999999,25.3319078
9,Finland,FI,Northern,2019,40.7,2019,68.73,5555154,False,63.2467777,25.9209164
10,France,FR,Western,2019,50.12,2017,74.56,67106161,True,46.603353999999996,1.8883334999999999
11,Germany,DE,Western,2019,61.38,2017,76.15,80594017,False,51.0834196,10.4234469
12,Greece,GR,Mediterranean,2019,58.69,2019,57.92,10752626,False,38.995368299999996,21.987713199999998
13,Hungary,HU,Central/Eastern,2019,43.36,2018,69.67,9825704,False,47.1817585,19.5060937
14,Ireland,IE,British,2019,49.7,2016,65.09,4952473,False,52.865196,-7.9794599
15,Italy,IT,Mediterranean,2019,54.5,2018,72.93,62246674,False,42.6384261,12.674297
16,Latvia,LV,Central/Eastern,2019,33.53,2018,54.58,1923559,False,56.8406494,24.7537645
17,Lithuania,LT,Central/Eastern,2019,53.48,2019,57.37,2762485,True,55.350000300000005,23.7499997
18,Luxembourg,LU,Western,2019,84.24,2018,89.66,605764,False,49.8158683,6.1296751
19,Malta,MT,Mediterranean,2019,72.7,2017,92.06,416338,False,35.888599299999996,14.4476911
20,Netherlands,NL,Western,2019,41.93,2017,81.93,17084719,False,52.500169799999995,5.7480820999999995
21,Poland,PO,Central/Eastern,2019,45.68,2015,55.34,38301885,True,52.0189912,19.19558554308718
22,Portugal,PT,Mediterranean,2019,30.75,2015,55.84,10825309,False,40.0332629,-7.889626299999999
23,Romania,RO,Central/Eastern,2019,51.07,2014,64.11,21729871,True,45.98521289999999,24.6859225
24,Slovakia,SK,Central/Eastern,2019,22.74,2016,59.82,5445802,False,48.74115220000001,19.4528646
25,Slovenia,SI,Central/Eastern,2019,28.89,2018,52.64,1965706,False,45.813311299999995,14.4808369
26,Spain,ES,Mediterranean,2019,60.73,2019,71.76,49683254,False,39.3260685,-4.8379791
27,Sweden,SV,Northern,2019,55.27,2018,87.18,10040995,False,59.67497120000001,14.5208584
28,United Kingdom,UK,British,2019,36.9,2017,68.93,64769452,False,54.702354500000006,-3.2765752999999997
